Scores;Cross;Natation;Sprint;Poids
1000;16:00;01:10;11;10
950;17:00;01:15;11,558;9,5
900;18:00;01:19;12,116;9
850;19:00;01:24;12,674;8,5
800;20:00;01:30;13,232;8
750;21:00;01:36;13,79;7,45
700;22:00;01:42;14,348;6,9
650;23:00;01:49;14,548;6,725
600;24:00;01:55;14,748;6,55
550;25:00;02:01;14,948;6,375
500;26:00;02:08;15;6,2
450;27:00;02:16;15,5;5,6
400;28:00;02:25;16;5
350;29:00;02:35;16,5;4,5
300;30:00;02:46;17;4
250;32:00;03:00;18;3,5
200;34:00;03:15;20;3
150;46:00;03:30;22;2,5
100;50:00;04:00;25;1,5
50;55:00;04:30;30;0,5
0;60:00;05:00;40;0
